	en	pl	de	fr	zh	pt	ru	es
ID_Card_02_desc_L1	DEF of the previous maneuver +150%.	OBR poprzedniego manewru +150%.	VER des vorherigen Manövers +150%	DÉF de la manœuvre précédente + 150 %	上一次操作的防御力 +150%。	DEF da última manobra +150%.	ОБР предыдущего маневра +150%.	DEF de la última maniobra +150 %.
ID_Card_02_desc_L2	DEF of the previous maneuver +175%.	OBR poprzedniego manewru +175%.	VER des vorherigen Manövers +175%	DÉF de la manœuvre précédente + 175 %	上一次操作的防御力 +175%。	DEF da última manobra +175%.	ОБР предыдущего маневра +175%.	DEF de la última maniobra +175 %.
ID_Card_06	Feint	Zmyłka	Tauschmanöver	Piège	假装进攻	Distração	Отвлекающий прием	Esquivo
ID_Card_06_desc_L0	DEF of the next two maneuvers +75%.	OBR dwóch następnych manewrów +75%.	VER von zwei nächsten Manövern +75%	DÉF de deux manœuvres suivantes + 75 %	下两次操作的防御力 +75%。	DEF das duas próximas manobras +75%.	ОБР двух следующих маневров +75%.	DEF de las dos próximas maniobras +75 %.
ID_Card_06_desc_L1	DEF of the next two maneuvers +100%.	OBR dwóch następnych manewrów +100%.	VER von zwei nächsten Manövern +100%	DÉF de deux manœuvres suivantes + 100 %	下两次操作的防御力 +100%。	DEF das duas próximas manobras +100%.	ОБР двух следующих маневров +100%.	DEF de las dos próximas maniobras +100 %.
ID_Card_06_desc_L2	DEF of the next two maneuvers +125%.	OBR dwóch następnych manewrów +125%.	VER von zwei nächsten Manövern +125%	DÉF de deux manœuvres suivantes + 125 %	下两次操作的防御力 +125%。	DEF das duas próximas manobras +125%.	ОБР двух следующих маневров +125%.	DEF de las dos próximas maniobras +125 %.
ID_Card_10	Bulwark	Mur	Mauer	Mur	铁墙	Muralha	Стена	Muralla
ID_Card_10_desc_L0	ATK and DEF of adjacent maneuvers +50%.	ATK i OBR sąsiadujących manewrów +50%.	ANG und VER benachbarter Manöver +50%	ATK et DÉF des manœuvres adjacentes + 50 %.	下一次和上一次操作的攻击力和防御力 +50%。	ATQ e DEF de manobras adjacentes +50%.	АТК и ОБР соседних маневров +50%.	ATQ y DEF de las maniobras vecinas +50 %.
ID_Card_10_desc_L1	ATK and DEF of adjacent maneuvers +75%.	ATK i OBR sąsiadujących manewrów +75%.	ANG und VER benachbarter Manöver +75%	ATK et DÉF des manœuvres adjacentes + 75 %.	下一次和上一次操作的攻击力和防御力 +75%。	ATQ e DEF de manobras adjacentes +75%.	АТК и ОБР соседних маневров +75%.	ATQ y DEF de las maniobras vecinas +75 %.
ID_Card_10_desc_L2	ATK and DEF of adjacent maneuvers +100%.	ATK i OBR sąsiadujących manewrów +100%.	ANG und VER benachbarter Manöver +100%	ATK et DÉF des manœuvres adjacentes + 100 %.	下一次和上一次操作的攻击力和防御力 +100%。	ATQ e DEF de manobras adjacentes +100%.	АТК и ОБР соседних маневров +100%.	ATQ y DEF de las maniobras vecinas +100 %.
ID_Card_11	Lone Wolf	Samotny wilk	Einsamer Wolf	Loup solitaire	独狼	Lobo solitário	Одинокий волк	Lobo solitario
ID_Card_11_desc_L0	DEF of all Offensive maneuvers +50%.	OBR wszystkich manewrów ofensywnych +50%.	VER aller Offensiv-Manöver +50%.	DÉF de toutes les manœuvres offensives + 50 %.	所有进攻的防御力 +50%。	DEF de todas as manobras ofensivas +50%.	ОБР всех наступательных маневров увеличена на +50%.	DEF de todas las maniobras ofensivas +50 %.
ID_Card_11_desc_L1	DEF of all Offensive maneuvers +75%.	OBR wszystkich manewrów ofensywnych +75%.	VER aller Offensiv-Manöver +75%.	DÉF de toutes les manœuvres offensives + 75 %.	所有进攻的防御力 +75%。	DEF de todas as manobras ofensivas +75%.	ОБР всех наступательных маневров увеличена на +75%.	DEF de todas las maniobras ofensivas +75 %.
ID_Card_11_desc_L2	DEF of all Offensive maneuvers +100%.	OBR wszystkich manewrów ofensywnych +100%.	VER aller Offensiv-Manöver +100%.	DÉF de toutes les manœuvres offensives + 100 %.	所有进攻的防御力 +100%。	DEF de todas as manobras ofensivas +100%.	ОБР всех наступательных маневров увеличена на +100%.	DEF de todas las maniobras ofensivas +100 %.
ID_Card_13	Jinking	Jinking	Umleitung	Redirection	重定向打击	Reencaminhamento	Противозенитный маневр	Jinking
ID_Card_13_desc_L0	ATK of maneuvers #1 & #5 +75%.	ATK manewry #1 i #5 +75%.	ANG Manöver #1 und #5 +75%.	ATK manœuvres #1 et #5 + 75 %.	操作#1 和#5 +75% 的攻击力。	ATQ das manobras #1 e #5 +75%.	АТК маневры #1 и #5 +75%.	ATQ de las maniobras #1 y #4 +75 %.
ID_Card_13_desc_L1	ATK of maneuvers #1 & #5 +100%.	ATK manewrów #1 i #5 +100%.	ANG Manöver #1 und #5 +100%.	ATK manœuvres #1 et #5 + 100 %.	操作#1 和#5 +100% 的攻击力。	ATQ das manobras #1 e #5 +100%.	АТК маневров #1 и #5 +100%.	ATQ de las maniobras #1 y #5 +100 %.
ID_Card_13_desc_L2	ATK of maneuvers #1 & #5 +125%.	ATK manewrów #1 i #5 +125%.	ANG Manöver #1 und #5 +125%.	ATK manœuvres #1 et #5 + 125 %.	操作#1 和#5 +125% 的攻击力。	ATQ as manobras #1 e #5 +125%.	АТК маневров #1 и #5 +125%.	ATQ de las maniobras #1 y #5 +125 %.
ID_Card_16	Strike from the Sun	Cios od Słońca	Schlag von der Sonne	Strike from de Sun	耀式攻击	Golpe contra o Sol	Удар от солнца.	Ataque desde el sol
ID_Card_16_desc_L0	ATK of maneuvers #1 and #2 +4.	ATK manewrów #1 i #2 +4.	ANG der Manöver #1 und #2 +4.	ATK manœuvres #1 et #2 + 4.	操作#1 和#2 的攻击力 +4。	ATQ das manobras #1 e #2 +4.	АТК маневров #1 и #2 +4.	ATQ de las maniobras #1 y #2 +4.
ID_Card_16_desc_L1	ATK of maneuvers #1 and #2 +6.	ATK manewrów #1 i #2 +6.	ANG der Manöver #1 und #2 +6.	ATK manœuvres #1 et #2 + 6.	操作#1 和#2 的攻击力 +6。	ATQ das manobras #1 e #2 +6.	АТК маневров #1 и #2 +6.	ATQ de las maniobras #1 y #2 +6.
ID_Card_16_desc_L2	ATK of maneuvers #1 and #2 +8.	ATK manewrów #1 i #2 +8.	ANG der Manöver #1 und #2 +8.	ATK manœuvres #1 et #2 + 8.	操作#1 和#2 的攻击力 +8。	ATQ das manobras #1 e #2 +8.	АТК маневров #1 и #2 +8.	ATQ de las maniobras #1 y #2 +8.
ID_Card_17	Fixed Target	Ogień punktowy	Gezieltes Feuer	Incendie ponctuel	目标定影	Fogo centrado	Точечный огонь	Ataque puntual
ID_Card_17_desc_L0	ATK of this maneuver +5 if maneuver #3 is Supportive.	ATK tego manewru +5 jeśli manewr #3 jest wspierający.	ANG dieses Manövers +5 wenn das Manöver #3 ein Unterstützungsmanöver ist.	ATK manœuvres + 5 si manœuvre #3 fournit soutien.	如果操作的#3 是支援行动， 则该操作的攻击力 +5。	ATQ desta manobra +5 se a manobra #3 for auxiliar.	АТК этого маневра +5, если маневр #3 является поддерживающим.	ATK de esta maniobra +5 si la maniobra #3 es de apoyo.
ID_Card_17_desc_L1	ATK of this maneuver +6 if maneuver #3 is Supportive.	ATK tego manewru +6 jeśli manewr #3 jest wspierający.	ANG dieses Manövers +6 wenn das Manöver #3 ein Unterstützungsmanöver ist.	ATK manœuvres + 6 si manœuvre #3 fournit soutien.	如果操作的#3 是支援行动， 则该操作的攻击力 +6。	ATQ desta manobra +6 se a manobra #3 for auxiliar.	АТК этого маневра +6, если маневр #3 является поддерживающим.	ATK de esta maniobra +6 si la maniobra #3 es de apoyo.
ID_Card_17_desc_L2	ATK of this maneuver +7 if maneuver #3 is Supportive.	ATK tego manewru +7 jeśli manewr #3 jest wspierający.	ANG dieses Manövers +7 wenn das Manöver #3 ein Unterstützungsmanöver ist.	ATK manœuvres + 7 si manœuvre #3 fournit soutien.	如果操作的#3 是支援行动， 则该操作的攻击力 +7。	ATQ desta manobra +7 se a manobra #3 for auxiliar.	АТК этого маневра +7, если маневр #3 является поддерживающим.	ATK de esta maniobra +7 si la maniobra #3 es de apoyo.
ID_Card_18	Torpedo Run	Torpedowanie	Mit Torpedos beschießen	Torpillage	巡弋潜艇	Ataque com torpedos	Торпедирование	Ataque con torpedos
ID_Card_18_desc_L0	DEF of all previous maneuvers +25%. ATK of all following maneuvers +25%.	OBR wszystkich poprzednich manewrów +25%. ATK wszystkich dalszych manewrów +25%.	VER aller früheren Manöver +25%. ANG aller weiteren Manöver +25%.	DÉF de toutes les manœuvres précédentes + 25 % ATK de toutes les manœuvres suivantes + 25 %	所有先前操作的防御力 +25%， 所有后期操作的攻击力 +25％。	DEF de todas as manobras anteriores +25%. ATQ de todas as manobras próximas +25%.	ОБР всех предыдущих маневров +25%. АТК всех следующих маневров +25%.	DEF de todas las maniobras anteriores +25 %. ATQ de todas las siguientes maniobras +25 %.
ID_Card_18_desc_L1	DEF of all previous maneuvers +50%. ATK of all following maneuvers +50%.	OBR wszystkich poprzednich manewrów +50%. ATK wszystkich dalszych manewrów +50%.	VER aller früheren Manöver +50%. ANG aller weiteren Manöver +50%.	DÉF de toutes les manœuvres précédentes + 50 % ATK de toutes les manœuvres suivantes + 50 %	所有先前操作的防御力 +50%， 所有后期操作的攻击力 +50％。	DEF de todas as manobras anteriores +50%. ATQ de todas as manobras próximas +50%.	ОБР всех предыдущих маневров +50%. АТК всех следующих маневров +50%.	DEF de todas las maniobras anteriores +50%. ATQ de todas las siguientes maniobras +50 %.
ID_Card_18_desc_L2	DEF of all previous maneuvers +75%. ATK of all following maneuvers +75%.	OBR wszystkich poprzednich manewrów +75%. ATK wszystkich dalszych manewrów +75%.	VER aller früheren Manöver +75%. ANG aller weiteren Manöver +75%.	DÉF de toutes les manœuvres précédentes + 75 % ATK de toutes les manœuvres suivantes + 75 %	所有先前操作的防御力 +75%， 所有后期操作的攻击力 +75％。	DEF de todas as manobras anteriores +75%. ATQ de todas as manobras próximas +75%.	ОБР всех предыдущих маневров +75%. АТК всех следующих маневров +75%.	DEF de todas las maniobras anteriores +75%. ATQ de todas las siguientes maniobras +75 %.
ID_Card_19	Combat Box	Combat Box	Combat Box	Combat Box	箱型战斗队形	Combat Box	Боевая Коробка	Combat Box
ID_Card_19_desc_L0	DEF of all Fighter maneuvers +100%.	OBR wszystkich manewrów myśliwców +100%.	VER aller Jagdflugzeug-Manöver +100%.	DÉF de toutes les manœuvres chasseurs + 100 %.	所有操作中的战斗机防御力 +100%。	DEF de todas as manobras de caças +100%.	ОБР всех маневров истребителей +100%.	DEF de todas las maniobras de cazas +100 %.
ID_Card_19_desc_L1	DEF of all Fighter maneuvers +125%.	OBR wszystkich manewrów myśliwców +125%.	VER aller Jagdflugzeug-Manöver +125%.	DÉF de toutes les manœuvres chasseurs + 125 %.	所有操作中的战斗机防御力 +125%。	DEF de todas as manobras de caças +125%.	ОБР всех маневров истребителей +125%.	DEF de todas las maniobras de cazas +125 %.
ID_Card_19_desc_L2	DEF of all Fighter maneuvers +175%.	OBR wszystkich manewrów myśliwców +175%.	VER aller Jagdflugzeug-Manöver +175%.	DÉF de toutes les manœuvres chasseurs + 175 %.	所有操作中的战斗机防御力 +175%。	DEF de todas as manobras de caças +175%.	ОБР всех маневров истребителей +175%.	DEF de todas las maniobras de cazas +175 %.
ID_Card_20	Thach Weave	Splot Thacha	Thach Weave	Splot Thacha	空战萨奇剪战术	Manobra de Thach	Thach Weave	Maniobra de Thach
ID_Card_20_desc_L0	DEF of this maneuver +125% if placed between Offensive maneuvers.	OBR tego manewru +125%, jeśli jest umieszczony między manewrami ofensywnymi.	VER dieses Manövers +125%, wenn es zwischen Offensiv-Manövern platziert ist.	DÉF de cette manœuvre + 125 % si entre les manœuvres offensives	如果布置在进攻期间， 则该操作的防御力 +125%。	DEF esta manobra +125%, se for colocado entre manobras ofensivas.	ОБР этого маневра +125%, если он размещен между наступательными маневрами.	DEF de esta maniobra +125 % si está entre maniobras ofensivas.
ID_Card_20_desc_L1	DEF of this maneuver +150% if placed between Offensive maneuvers.	OBR tego manewru +150%, jeśli jest umieszczony między manewrami ofensywnymi.	VER dieses Manövers +150%, wenn es zwischen Offensiv-Manövern platziert ist.	DÉF de cette manœuvre + 150 % si entre les manœuvres offensives	如果布置在进攻期间， 则该操作的防御力 +150%。	DEF esta manobra +150%, se for colocado entre manobras ofensivas.	ОБР этого маневра +150%, если он размещен между наступательными маневрами.	DEF de esta maniobra +150 % si está entre maniobras ofensivas.
ID_Card_20_desc_L2	DEF of this maneuver +175% if placed between Offensive maneuvers.	OBR tego manewru +175%, jeśli jest umieszczony między manewrami ofensywnymi.	VER dieses Manövers +175%, wenn es zwischen Offensiv-Manövern platziert ist.	DÉF de cette manœuvre + 175 % si entre les manœuvres offensives	如果布置在进攻期间， 则此操作的防御力 +175%。	DEF esta manobra +175%, se for colocado entre manobras ofensivas.	ОБР этого маневра +175%, если он размещен между наступательными маневрами.	DEF de esta maniobra +175 % si está entre maniobras ofensivas.
ID_Card_21	Leap of Faith	Na jedną kartę	Auf eine Karte	Une carte	信仰飞跃	Uma só cartada	Прыжок веры	A una carta
ID_Card_21_desc_L0	DEF of adjacent maneuvers +150%.	OBR +150% dla przyległych manewrów.	VER +150% für die anliegenden Manöver.	DÉF + 150 % pour les manœuvres adjacentes	相邻操作的防御力 +150%。	DEF +150% para as manobras contíguas.	ОБР +150% для смежных маневров.	DEF +150 % para las maniobras vecinas.
ID_Card_21_desc_L1	DEF of adjacent maneuvers +200%.	OBR +200% dla przyległych manewrów.	VER +200% für die anliegenden Manöver.	DÉF + 200 % pour les manœuvres adjacentes	相邻操作的防御力 +200%。	DEF +200% para as manobras contíguas.	ОБР +200% для смежных маневров.	DEF +200 % para las maniobras vecinas.
ID_Card_21_desc_L2	DEF of adjacent maneuvers +250%.	OBR +250% dla przyległych manewrów.	VER +250% für die anliegenden Manöver.	DÉF + 250 % pour les manœuvres adjacentes	相邻操作的防御力 +250%。	DEF +250% para as manobras contíguas.	ОБР +250% для смежных маневров.	DEF +250 % para las maniobras vecinas.
ID_Card_22	Precision Bombing	Precyzja	Präzision	Précision	精准炸弹	Precisão	Точность	Precisión
ID_Card_22_desc_L0	DEF +4 if the previous maneuver used Fighters.	OBR +4, jeśli poprzedni manewr korzysta z myśliwców.	VER +4, wenn im vorherigen Manöver Jagdflugzeuge benutzt werden.	DÉF + 4 si la manœuvre précédente utilise les chasseurs	如果之前的操作使用了战斗机， 则防御力 +4。	DEF +4, se a manobra anterior utiliza caças.	ОБР +4, если в предыдущем маневре используются истребители.	DEF +4 si la maniobra anterior utiliza cazas.
ID_Card_22_desc_L1	DEF +6 if the previous maneuver used Fighters.	OBR +6, jeśli poprzedni manewr korzysta z myśliwców.	VER +6, wenn im vorherigen Manöver Jagdflugzeuge benutzt werden.	DÉF + 6 si la manœuvre précédente utilise les chasseurs	如果之前的操作使用了战斗机， 则防御力 +6。	DEF +6, se a manobra anterior utiliza caças.	ОБР +6, если в предыдущем маневре используются истребители.	DEF +6 si la maniobra anterior utiliza cazas.
ID_Card_22_desc_L2	DEF +8 if the previous maneuver used Fighters.	OBR +8, jeśli poprzedni manewr korzysta z myśliwców.	VER +8, wenn im vorherigen Manöver Jagdflugzeuge benutzt werden.	DÉF + 8 si la manœuvre précédente utilise les chasseurs	如果之前的操作使用了战斗机， 则防御力 +8。	DEF +8, se a manobra anterior utiliza caças.	ОБР +8, если в предыдущем маневре используются истребители.	DEF +8 si la maniobra anterior utiliza cazas.
ID_Card_23	Tin Fish	Podwójne torpedy	Doppelte Torpedos	Doubles torpilles	双鱼雷	Torpedos duplos	Двойные торпеды	Torpedos dobles
ID_Card_23_desc_L0	ATK of all other Torpedo Bomber manuevers +4.	ATK wszystkich innych manewrów torpedowców +4.	ANG aller anderen Manöver mit Torpedobooten +4.	ATK des autres manœuvres des torpilleurs + 4	所有其他鱼雷轰炸机的攻击力 +4。	ATQ de todas as manobras de torpedeiros +4.	АТК всех остальных маневров миноносцев +4%.	ATQ de todas las demás maniobras de torpederos +4.
ID_Card_23_desc_L1	ATK of all other Torpedo Bomber manuevers +6.	ATK wszystkich innych manewrów torpedowców +6.	ANG aller anderen Manöver mit Torpedobooten +6.	ATK des autres manœuvres des torpilleurs + 6	所有其他鱼雷轰炸机的攻击力 +6。	ATQ de todas as manobras de torpedeiros +6.	АТК всех остальных маневров миноносцев +6%.	ATQ de todas las demás maniobras de torpederos +6.
ID_Card_23_desc_L2	ATK of all other Torpedo Bomber manuevers +8.	ATK wszystkich innych manewrów torpedowców +8.	ANG aller anderen Manöver mit Torpedobooten +8.	ATK des autres manœuvres des torpilleurs + 8	所有其他鱼雷轰炸机的攻击力 +8。	ATQ de todas as manobras de torpedeiros +8.	АТК всех остальных маневров миноносцев +8%.	ATQ de todas las demás maniobras de torpederos +8.
ID_Card_24	Finger-Four	Finger-Four	Finger-Four	Finger-Four	四指队形 	Finger-Four	Finger-Four	Finger-Four
ID_Card_24_desc_L0	ATK of all following maneuvers +4 if maneuver #5 is Defensive.	ATK wszystkich dalszych manewrów +4 jeśli manewr #5 jest obronny.	ANG aller weiteren Manöver +4, wenn das Manöver #5 ein Verteidigungsmanöver ist.	ATK des autres manœuvres suivantes + 4 manœuvre #5 est défensive	如果操作＃5是防御性的， 则后面所有操作的攻击力 +4。	ATQ de todas as seguintes manobras +4 se a manobra #5 for defensiva.	АТК всех последующих маневров +4, если маневр #5 является оборонительным.	ATQ de todas las siguientes maniobras +4 si la maniobra #5 es defensiva.
ID_Card_24_desc_L1	ATK of all following maneuvers +5 if maneuver #5 is Defensive.	ATK wszystkich dalszych manewrów +5 jeśli manewr #5 jest obronny.	ANG aller weiteren Manöver +5, wenn das Manöver #5 ein Verteidigungsmanöver ist.	ATK des autres manœuvres suivantes + 5 manœuvre #5 est défensive	如果操作＃5是防御性的， 则后面所有操作的攻击力 +5。	ATQ de todas as seguintes manobras +5 se a manobra #5 for defensiva.	АТК всех последующих маневров +5, если маневр #5 является оборонительным.	ATQ de todas las siguientes maniobras +5 si la maniobra #5 es defensiva.
ID_Card_24_desc_L2	ATK of all following maneuvers +6 if maneuver #5 is Defensive.	ATK wszystkich dalszych manewrów +6 jeśli manewr #5 jest obronny.	ANG aller weiteren Manöver +6, wenn das Manöver #5 ein Verteidigungsmanöver ist.	ATK des autres manœuvres suivantes + 6 manœuvre #5 est défensive	如果操作＃5是防御性的， 则后面所有操作的攻击力 +6。	ATQ de todas as seguintes manobras +6 se a manobra #5 for defensiva.	АТК всех последующих маневров +6, если маневр #5 является оборонительным.	ATQ de todas las siguientes maniobras +6 si la maniobra #5 es defensiva.
ID_Card_25	Wingmen	Skrzydłowi	Flügelmann	Ailiers	僚机	Laterais	Ведомые	Laterales
ID_Card_25_desc_L0	ATK and DEF of all other Fighter maneuvers +125%.	ATK i OBR wszystkich innych manewrów przy użyciu myśliwców +125%.	ANG und VER aller anderen Manöver unter Verwendung von Jagdflugzeugen +125%.	ATK et DÉF de toutes les autres manœuvres avec l’utilisation des chasseurs + 125 %.	使用战斗机的所有其他操作的攻击力和防御力 +125％。	ATQ e DEF de todas as outras manobras com caças +125%.	АТК и ОБР всех остальных маневров при использовании истребителей +125%.	ATQ y DEF de todas las demás maniobras con cazas +125 %.
ID_Card_25_desc_L1	ATK and DEF of all other Fighter maneuvers +150%.	ATK i OBR wszystkich innych manewrów przy użyciu myśliwców +150%.	ANG und VER aller anderen Manöver unter Verwendung von Jagdflugzeugen +150%.	ATK et DÉF de toutes les autres manœuvres avec l’utilisation des chasseurs + 150 %.	使用战斗机的所有其他操作的攻击力和防御力 +150％。	ATQ e DEF de todas as outras manobras com caças +150%.	АТК и ОБР всех остальных маневров при использовании истребителей +150%.	ATQ y DEF de todas las demás maniobras con cazas +150%.
ID_Card_25_desc_L2	ATK and DEF of all other Fighter maneuvers +175%.	ATK i OBR wszystkich innych manewrów przy użyciu myśliwców +175%.	ANG und VER aller anderen Manöver unter Verwendung von Jagdflugzeugen +175%.	ATK et DÉF de toutes les autres manœuvres avec l’utilisation des chasseurs + 175 %.	使用战士的所有其他操作的攻击和防御 +175％。	ATQ e DEF de todas as outras manobras com caças +175%.	АТК и ОБР всех остальных маневров при использовании истребителей +175%.	ATQ y DEF de todas las demás maniobras con cazas +175%.
ID_Card_26	Barrel Roll	Beczka	Fassrolle	Tonneau	进攻型桶滚战术	Tonel	Бочка	Tonel
ID_Card_26_desc_L0	ATK of all previous Dive Bomber maneuvers +3.	ATK wszystkich poprzednich manewrów bombowców +3.	ANG aller früheren Bomber-Manöver +3.	ATK de toutes les manœuvres précédentes des bombardiers + 3 %	之前所有俯冲轰炸机操作的攻击力 +3。	ATQ de todas as manobras anteriores com torpedeiros +3.	АТК всех предыдущих маневров бомбардировщиков +3.	ATQ de todas las anteriores maniobras de bombarderos +3.
ID_Card_26_desc_L1	ATK of all previous Dive Bomber maneuvers +5.	ATK wszystkich poprzednich manewrów bombowców +5.	ANG aller früheren Bomber-Manöver +5.	ATK de toutes les manœuvres précédentes des bombardiers + 5 %	之前所有俯冲轰炸机操作的攻击力 +5。	ATQ de todas as manobras anteriores com torpedeiros +5.	АТК всех предыдущих маневров бомбардировщиков +5.	ATQ de todas las anteriores maniobras de bombarderos +5.
ID_Card_26_desc_L2	ATK of all previous Dive Bomber maneuvers +7.	ATK wszystkich poprzednich manewrów bombowców +7.	ANG aller früheren Bomber-Manöver +7.	ATK de toutes les manœuvres précédentes des bombardiers + 7.	之前所有俯冲轰炸机操作的攻击力 +7。	ATQ de todas as manobras anteriores com torpedeiros +7.	АТК всех предыдущих маневров бомбардировщиков +7.	ATQ de todas las anteriores maniobras de bombarderos +7.
ID_Card_27	Lufbery Circle	Krąg Lufbery'ego	Kreis Lufbery	Cercle de Lufbery	卢氏圆圈队形	Círculo de Lufbery	Круг Люфбери	Círculo de Lufbery
ID_Card_27_desc_L0	ATK of this maneuver +10 if placed between Defensive maneuvers.	ATK tego manewru +10, jeśli sąsiednie manewry są obronne.	ANG dieses Manövers +10, wenn die benachbarten Manöver Unterstützungsmanöver sind.	ATK de cette manœuvre + 10 si les manœuvres adjacentes sont défensives.	如果相邻的操作是防御性招式， 则该操作的攻击力 +10。	ATQ esta manobra +10 se as manobras contíguas forem defensivas.	АТК этого маневра +10, если соседние маневры защитные.	ATK de esta maniobra +10 si las maniobras vecinas son defensivas.
ID_Card_27_desc_L1	ATK of this maneuver +12 if placed between Defensive maneuvers.	ATK tego manewru +12, jeśli sąsiednie manewry są obronne.	ANG dieses Manövers +12, wenn die benachbarten Manöver Unterstützungsmanöver sind.	ATK de cette manœuvre + 12 si les manœuvres adjacentes sont défensives.	如果相邻的操作是防御性招式， 则该操作的攻击力 +12。	ATQ esta manobra +12 se as manobras contíguas forem defensivas.	АТК этого маневра +12, если соседние маневры защитные.	ATK de esta maniobra +12 si las maniobras vecinas son defensivas.
ID_Card_27_desc_L2	ATK of this maneuver +14 if placed between Defensive maneuvers.	ATK tego manewru +14, jeśli sąsiednie manewry są obronne.	ANG dieses Manövers +14, wenn die benachbarten Manöver Unterstützungsmanöver sind.	ATK de cette manœuvre + 14 si les manœuvres adjacentes sont défensives.	如果相邻的操作是防御性招式， 则该操作的攻击力 +14。	ATQ esta manobra +14 se as manobras contíguas forem defensivas.	АТК этого маневра +14, если соседние маневры защитные.	ATK de esta maniobra +14 si las maniobras vecinas son defensivas.
ID_Card_28	Support from Midway	Wsparcie z Midway	Unterstützung aus Midway	Soutien depuis l’île de Midway	来自中途岛的支持	Apoio desde Midway	Поддержка с острова Мидуэй	Apoyo desde Midway
ID_Card_28_desc	ATK and DEF of all other maneuvers +200%.	ATK i OBR wszystkich innych manewrów +200%.	ANG und VER aller anderen Manöver +200%.	ATK et DÉF de toutes les manœuvres + 200 %	所有其他操作的攻击力和防御力 +200%。	ATQ e DEF de todas as outras manobras +200%.	АТК и ОБР всех остальных маневров +300%.	ATQ y DEF de las maniobras todas las demás maniobras +300 %.
LastReport	Last reported	Ostatni raport	Letzter Bericht	Dernier rapport	上次报告	Último relatório	Последний рапорт	Último informe
Launch	LAUNCH	ROZPOCZNIJ	SCHICKE	ENVOYER	起飞	ENVIAR	НАЧАТЬ	EMPEZAR
Launching	Launching	Wysyłanie	Entsenden	Envoie	起飞	A enviar	Отправка	Enviando
ReconRange	Recon Range	Zasięg zwiadu	Aktionsradius der Aufklärung	Portée de reconnaissance	侦察范围	Alcance do reconhecimento	Дальность действия разведки	Alcance de la exploración
RescueRange	Rescue Range	Zasięg ratunku	Aktionsradius der Rettung	Portée de secours	救援范围	Alcance do resgate	Диапазон спасения	Alcance del rescate
TimeToObsolete	Time until obsolete	Dezaktualizacja	Obsoleszenz	Obsolescence	直到过时	Desatualização	Устаревание	Desactualización
TimeToRetrieve	Time left to recover	Czas do odbioru	Zeit bis zur Übernahme	Temps à récupération	撤回时间	Tempo de receção	Время до приема	Tiempo hasta la recepción
TimeToReturn	Time to return	Czas do powrotu	Zeit bis zur Rückkehr	Temps à retour	返回时间	Tempo de volta	Время до возвращения	Tiempo hasta la vuelta
Airstrike	Airstrike	Nalot	Luftangriff	Raid aérien	空袭	Ataque aéreo	Авиаудар	Ataque aéreo
StrategyBuilderEnemies	TARGETS	CELE	ZIELE	OBJECTIFS	敌人	ALVOS	ЦЕЛИ	OBJETIVOS
EnemyPath	Enemy Path	Trasa Wroga	Feindliche Route	Itinéraire de l’ennemi	敌人路径	Rota do inimigo	Маршрут Врага	Rumbo del enemigo
