	en	pl	de	fr	zh	pt	ru	es
Face04	Face #4	Twarz 04	Gesicht 04	Visage 04	脸#4	Cara 04	Лицо 04	Cara 04
Face05	Face #5	Twarz 05	Gesicht 05	Visage 05	脸 #5	Cara 05	Лицо 05	Cara 05
Face06	Face #6	Twarz 06	Gesicht 06	Visage 06	脸#6	Cara 06	Лицо 06	Cara 06
Face07	Face #7	Twarz 07	Gesicht 07	Visage 07	脸 #7	Cara 07	Лицо 07	Cara 07
Face08	Face #8	Twarz 08	Gesicht 08	Visage 08	脸#8	Cara 08	Лицо 08	Cara 08
FlyingAce	Map Awareness	Znajomość mapy	Kartenkenntnisse	Connaissance de la carte	地图控制权	Conhecimento do mapa	Знание карты	Conocimiento del mapa
Hair	Hair/Hat	Włosy/Kapelusz	Haare/Hut	Cheveux/Chapeau	头发/帽子	Cabelo/Chapéu	Волосы/Шляпа	Pelo/Sombrero
Hair01	Side Swept: Brown	Na bok: Brązowe	Zur Seite gekämmt Braun	Peignés sur le côté : Bruns	侧分：棕色	Penteado para o lado: Castanho	На бок: Русые	A un lado Castaño
Hair02	Side Swept: Gray	Na bok: Siwe	Zur Seite gekämmt Grau	Peignés sur le côté : Gris	侧分：灰色	Penteado para o lado: Grisalho	На бок: Седые	A un lado Blanco
Hair03	Side Swept: Blond	Na bok: Blond	Zur Seite gekämmt Blond	Peignés sur le côté : Blonds	侧分：金发	Penteado para o lado: Loiro	На бок: Блонд	A un lado Rubio
Hair04	Slick Back: Brown	Do tyłu: Brązowe	Nach Hinten gekämmt Braun	Coiffés en arrière : Bruns	大背头：棕色	Penteado para trás: Castanho	Назад: Русые	Hacia atrás: Castaño
Hair05	Slick Back: Gray	Do tyłu: Siwe	Nach Hinten gekämmt Grau	Coiffés en arrière : Gris	大背头：灰色	Penteado para trás: Grisalho	Назад: Седые	Hacia atrás: Blanco
Hair06	Slick Back: Blond	Do tyłu: Blond	Nach Hinten gekämmt Blond	Coiffés en arrière : Blonds	大背头：金发	Penteado para trás: Loiro	Назад: Блонд	Hacia atrás: Rubio
Hair07	Military Quiff: Brown	Wojskowy: Brązowe	Militär: Braun	Militaire : Bruns	额发：棕色	Militar: Castanho	Армейская стрижка: Русые	Militar: Castaño
Hair08	Military Quiff: Gray	Wojskowy: Siwe	Militär: Grau	Militaire : Gris	额发：灰色	Militar: Grisalho	Армейская стрижка: Седые	Militar: Blanco
Hair09	Military Quiff: Blond	Wojskowy: Blond	Militär: Blond	Militaire : Blonds	额发：金发	Militar: Loiro	Армейская стрижка: Блонд	Militar: Rubio
Hair10	Garrison Cap: Khaki	Furażerka: Khaki	Feldmütze: Khaki	Calot : Kaki	驻军帽：卡其色	Quepe: Caqui	Пилотка: Хаки	Gorra: Caqui
Hair11	Garrison Cap: White	Furażerka: Biała	Feldmütze: Weiß	Calot : Blanc	驻军帽：白色	Quepe: Branco	Пилотка: Белая	Gorra: Blanco
Hair12	Garrison Cap: Gray	Furażerka: Szara	Feldmütze: Grau	Calot : Gris	驻军帽：灰色	Boné: Cinzento	Пилотка: Серая	Gorra: Gris
Hair13	Garrison Cap: Navy	Furażerka: Ciemnoniebieska	Feldmütze: Dunkelblau	Calot : Bleu foncé	驻军帽：海军	Quepe: Azul marinho	Пилотка: Темно-синяя	Gorra: Azul oscuro
Hair14	Combination Cap: Khaki	Czapka: Khaki 	Garnisonsmütze: Khaki	Casquette de garnison : Kaki	组合帽：卡其色	Boné: Caqui	Фуражка: Хаки 	Gorro: Caqui 
Hair15	Combination Cap: White	Czapka: Biała	Garnisonsmütze: Weiß	Casquette de garnison : Blanc	组合帽：白色	Boné: Branco	Фуражка: Белая	Gorro: Blanco
Hair16	Combination Cap: Navy	Czapka: Ciemnoniebieska	Garnisonsmütze: Dunkelblau	Casquette de garnison : Bleu foncé	组合帽：海军	Boné: Azul marinho	Фуражка: Темно-синяя	Gorro: Azul oscuro
Hair17	Combination Cap: Red	Czapka: Czerwona	Garnisonsmütze: Rot	Casquette de garnison : Rouge	组合帽：红色	Boné: Vermelho	Фуражка: Красная	Gorro: Rojo
Hair18	Visor Cap: Khaki	Z daszkiem: Khaki	Schirmmütze: Khaki	Casquette : Kaki	遮阳帽：卡其色	Boné com pala: Caqui	Кепка с козырьком: Хаки	Gorra de béisbol: Caqui
HumanMachine	Defensive Position	Szyk Obronny	Verteidigungsformation	Position défensive	防守位置	Formação defensiva	Оборонительная Позиция	Formación defensiva
Name	Name	Imię	Vorname	Prénom	名称：	Nome	Имя	Nombre
NAVY:	NAVY:	MARYNARKA:	MARINE:	MARINE :	海军：	CASACO:	ВОЕННО-МОРСКИЕ СИЛЫ:	CHAQUETA:
NoAccessory	No Accessory	Bez Dodatków	Ohne Accessoires:	Sans accessoires	无配件	Sem adornos	Без Аксессуаров	Sin accesorios
Portrait	Portrait	Portret	Porträt	Portrait	肖像	Retrato	Портрет	Retrato
PressAnyButton	Press any button to continue…	Naciśnij dowolny przycisk, aby przejść dalej...	Drücke beliebige Taste um weiterzukommen...	Appuyez sur un bouton pour continuer...	按任意按钮继续...	Apertar qualquer botão para continuar...	Нажмите любую кнопку, чтобы продолжить...	Apretar cualquier botón para pasar adelante...
Seamaster	Damage Control	Damage Control	Damage Control	Damage Control	维修	Damage Control	Damage Control	Damage Control
Shirt	Clothing (Upper)	Ubranie (korpus)	Kleidung (Korpus)	Tenue (haut)	服装（上部）	Roupa (corpo)	Одежда (тело)	Ropa (tronco)
Shirt01	Service Khaki	Służbowy Khaki	Dienstlich Khaki	de service Kaki	卡其色	Uniforme caqui	Служебный Хаки	De trabajo Caqui
Shirt02	Service White	Służbowy Biały	Dienstlich Weiß	de service Blanc	白色	Uniforme branco	Служебный Белый	De trabajo Blanco
Shirt03	Service Gray	Służbowy Szary	Dienstlich Grau	de service Gris	灰色	Uniforme cinzento	Служебный Серый	De trabajo Gris
Shirt04	Service Dress Blue	Służbowy Granatowy	Dienstlich Dunkelblau	de service Bleu foncée	蓝色	Uniforme azul marinho	Служебный Синий	De trabajo Azul oscuro
Shirt05	Full Dress Blue	Pełny Granatowy	Komplett Dunkelblau	complet bleu foncé	蓝色长服	Azul marinho inteiro	Полностью Синий	Pleno azul oscuro
Shirt06	Overcoat: Khaki	Płaszcz: Khaki	Mantel: Khaki	Manteau : Kaki	大衣：卡其色	Abrigo: Caqui	Пальто: Хаки	Abrigo: Caqui
Shirt07	Overcoat: White	Płaszcz: Biały	Mantel: Weiß	Manteau : Blanc	大衣：白色	Abrigo: Branco	Пальто: Белое	Abrigo: Blanco
Shirt08	Overcoat: Gray	Płaszcz: Szary	Mantel: Grau	Manteau : Gris	大衣：灰色	Abrigo: Cinzento	Пальто: Серое	Abrigo: Gris
Shirt09	Overcoat: Navy	Płaszcz: Ciemnoniebieski	Mantel: Dunkelblau	Manteau : Bleu foncé	大衣：海军	Abrigo: Azul marinho	Пальто: Темно-синее	Abrigo: Azul oscuro
Shirt10	Overcoat: Futuristic	Płaszcz: Futurystyczny	Mantel: Futuristisch	Manteau : Futuriste	大衣：未来派	Abrigo: Futurista	Пальто: Футуристическое	Abrigo: Futurista
Shirt11	Overcoat: Houndstooth	Płaszcz: Pepitka	Mantel: Hahnentrittmuster	Manteau : Pied-de-poule	大衣：千鸟格	Abrigo: Quadriculado	Пальто: Гусиные лапки	Abrigo: Espigas
Shirt12	Overcoat: Geometric	Płaszcz: Geometryczny	Mantel: Geometrisch	Manteau : Géométrique	大衣：几何	Abrigo: Geométrico	Пальто: Геометрическое	Abrigo: Geométrico
Shirt13	Dress Shirt: Blue	Długa koszula: Niebieska	Langes Hemd: Blau	Long chemisier Bleu	正装衬衫：蓝色	Camisa de manga longa: Azul	Длинная рубашка: Голубая	Camisa larga: Azul
Shirt14	Dress Shirt: Khaki	Długa koszula: Khaki	Langes Hemd: Khaki	Long chemisier Kaki	正装衬衫：卡其色	Camisa de manga longa: Caqui	Длинная рубашка: Хаки	Camisa larg: Caqui
Shirt15	Dress Shirt: White	Długa koszula: Biała	Langes Hemd: Weiß	Long chemisier Blanc	正装衬衫：白色	Camisa de manga longa: Branco	Длинная рубашка: Белая	Camisa larga: Blanco
Shirt16	Dress Shirt: Daisies	Długa koszula: Stokrotki	Langes Hemd: Gänseblümchen	Long chemisier Marguerites	正装衬衫：雏菊	Camisa de manga longa: Margaridas	Длинная рубашка: Ромашки	Camisa larga: Margaritas
Shirt17	Dress Shirt: Petals	Długa koszula: Płatki	Langes Hemd: Flocken	Long chemisier Pétales	正装衬衫：花瓣	Camisa de manga longa: Pétalas	Длинная рубашка: Лепестки	Camisa larga: Pétalos
Shirt18	Dress Shirt: Blossom	Długa koszula: Kwiat	Langes Hemd: Blume	Long chemisier Fleurs	正装衬衫：花开	Camisa de manga longa: Flores	Длинная рубашка: Цветок	Camisa larga: Flor
Shirt19	Rolled Sleeves: Khaki	Podwinięte rękawy: Khaki	Hochgekrempelte Ärmel Khaki	Manches retroussées : Kaki	卷袖：卡其色	Mangas dobradas: Caqui	Закатанные рукава: Хаки	Mangas dobladas: Caqui
Shirt20	Rolled Sleeves: Blue	Podwinięte rękawy: Niebieskie	Hochgekrempelte Ärmel Blue	Manches retroussées : Blue	卷袖：蓝色	Mangas dobradas: Blue	Закатанные рукава: Голубые	Mangas dobladas: Azules
Shirt21	Rolled Sleeves: Damask	Podwinięte rękawy: Damask	Hochgekrempelte Ärmel Damask	Manches retroussées : Damask	卷袖：锦缎	Mangas dobradas: Damasceno	Закатанные рукава: Дамаст	Mangas dobladas: Damasco
Shirt22	Rolled Sleeves: Plaid	Podwinięte rękawy: Plecionka	Hochgekrempelte Ärmel Geflecht	Manches retroussées : Tresses	卷袖：格子呢	Mangas dobradas: Entrelaçado	Закатанные рукава: Плетение	Mangas dobladas: Entrelazado
Shirt23	Rolled Sleeves: Check	Podwinięte rękawy: Szachownica	Hochgekrempelte Ärmel Schachbrett	Manches retroussées : Damier	卷袖：方格	Mangas dobradas: Xadrez	Закатанные рукава: Шахматный узор	Mangas dobladas: Ajedrez
Shirt24	Rolled Sleeves: Ikat	Podwinięte rękawy: Ikat	Hochgekrempelte Ärmel Ikat	Manches retroussées : Ikat	卷袖：扎染	Mangas dobradas: Ikat	Закатанные рукава: Икат	Mangas dobladas: Ikat
Shirt25	Shirt & Tie: Khaki	Koszula i krawat: Khaki	Hemd und Krawatte: Khaki	Chemisier et cravate : Kaki	衬衫和领带：卡其色	Camisa e gravata: Caqui	Рубашка и галстук: Хаки	Camisa y corbata: Caqui
Shirt26	Shirt & Tie: White	Koszula i krawat: Białe	Hemd und Krawatte: Weiß	Chemisier et cravate : Blancs	衬衫和领带：白色	Camisa e gravata: Brancos	Рубашка и галстук: Белые	Camisa y corbata: Blancos
Shirt27	Shirt & Tie: Blue	Koszula i krawat: Niebieskie	Hemd und Krawatte: Blau	Chemisier et cravate : Bleus	衬衫和领带：蓝色	Camisa e gravata: Azuis	Рубашка и галстук: Голубые	Camisa y corbata: Azules
Shirt28	Shirt & Tie: Houndstooth	Koszula i krawat: Pepitka	Hemd und Krawatte: Hahnentrittmuster	Chemisier et cravate : Pied-de-poule	衬衫和领带：千鸟格	Camisa e gravata: Quadriculados	Рубашка и галстук: Гусиные лапки	Camisa y corbata: Espigas
Shirt29	Shirt & Tie: Glossy	Koszula i krawat: Błyszczące	Hemd und Krawatte: Glänzend	Chemisier et cravate : Brillants	衬衫和领带：光面	Camisa e gravata: Brilhantes	Рубашка и галстук: Блестящий	Camisa y corbata: Brillantes
Skills:	Skills	Umiejętności	Fähigkeiten	Compétences	技能	Habilidades	Навыки	Habilidades
Traits	Starting Order	Rozkaz Początkowy	Startbefehl	Ordre initial	起始顺序	Ordem principal	Первоначальный Приказ	Orden principal
Trousers	Clothing (Lower)	Spodnie	Hose	Pantalon	服装（下部）	Calças	Брюки	Pantalón
Trousers01	Dress Pants: Khaki	Długie spodnie: Khaki	Lange Hose: Khaki	Pantalon long : Kaki	正装裤：卡其色	Calças compridas: Caqui	Длинные брюки: Хаки	Pantalón largo: Caqui
Trousers02	Dress Pants: White	Długie spodnie: Białe	Lange Hose: Weiß	Pantalon long : Blancs	正装裤：白色	Calças compridas: Brancas	Длинные брюки: Белые	Pantalón largo: Blancos
Trousers03	Dress Pants: Gray	Długie spodnie: Szare	Lange Hose: Grau	Pantalon long : Gris	正装裤：灰色	Calças compridas: Cinzentas:	Длинные брюки: Серые	Pantalón largo: Gris
Trousers04	Dress Pants: Navy	Długie spodnie: Ciemnoniebieskie	Lange Hose: Dunkelblau	Pantalon long : Bleu foncé	正装裤：海军蓝	Calças compridas: Azul marinho	Длинные брюки: Темно-синие	Pantalón largo: Azul oscuro
Trousers05	Short Pants: Feathers	Krótkie spodnie: Pióra	Kurze Hose: Federn	Pantalon court : Plumes	短裤：羽毛	Calções: Penas	Укороченные брюки: Перья	Pantalón corto: Plumas
Trousers06	Short Pants: White	Krótkie spodnie: Białe	Kurze Hose: Weiß	Pantalon court : Blancs	短裤：白色	Calções: Brancos	Укороченные брюки: Белые	Pantalón corto: Blancos
Trousers07	Short Pants: Gray	Krótkie spodnie: Szary	Kurze Hose: Grau	Pantalon court : Gris	短裤：灰色	Calções: Cinzentos	Укороченные брюки: Серое	Pantalón corto: Gris
Trousers08	Short Pants: Navy	Krótkie spodnie: Marynarka	Kurze Hose: Jackett	Pantalon court : Bleu foncé	短裤：海军蓝	Calções: Casaco	Укороченные брюки: Темно-синий	Pantalón corto: Chaqueta:
Trousers09	Short Pants: Denim	Krótkie spodnie: Jeans	Kurze Hose: Jeans	Pantalon court : Jeans	短裤：牛仔布	Calções: Jeans	Укороченные брюки: Джинс	Pantalón corto: Vaqueros
Trousers10	Short Pants: Clouds	Krótkie spodnie: Chmury	Kurze Hose: Wolken	Pantalon court : Camouflage	短裤：云	Calções: Nuvens	Укороченные брюки: Облака	Pantalón corto: Nubes
Trousers11	Short Pants: Curves	Krótkie spodnie: Zakręty	Kurze Hose: Kurven	Pantalon court : Camouflage lignes courbées	短裤：曲线	Calções: Curvas	Укороченные брюки: Изгибы	Pantalón corto: Curvas
Trousers12	Trousers 12	Spodnie 12	Hose 12	Pantalon 12	裤子 12	Calças 12	Брюки 12	Pantalón 12
Voice	Voice	Głos	Stimme	Voix	声音	Voz	Голос	Voz
Voice01	Voice #1	Głos 01	Stimme 01	Voix 01	声音#1	Voz 01	Голос 01	Voz 01
Voice02	Voice #2	Głos 02	Stimme 02	Voix 02	声音 #2	Voz 02	Голос 02	Voz 02
EnterName	Enter name	Wpisz imię	Vornamen eintragen	Saisissez le prénom	输入名字	Introduza o nome	Введите имя	Introducir nombre
