	en	pl	de	fr	zh	pt	ru	es
CodingRoomSwitch01	Boost Efficiency in Air Dept.	Zwiększ wydajność w Dziale Lotniczym	Erhöhe die Effizienz in der Luftabteilung	Augmentez l’efficacité dans la Division de l’Aviation	提高空军部门的效率	Aumentar rendimento no Departamento aéreo	Повысить производительность в Авиационном Отделении	Aumentar eficiencia en el Departamento de Aviación
CodingRoomSwitch02	Boost Efficiency in Medical Dept.	Zwiększ wydajność w Dziale Medycznym	Erhöhe die Effizienz in der Medizinischen Abteilung	Augmentez l’efficacité dans la Division Médicale	提高医疗部门的效率	Aumentar rendimento no Departamento Médico	Повысить производительность в Медицинском Отделении	Aumentar eficiencia en el Departamento Médico
CodingRoomSwitch03	Boost Efficiency in Anti-Aircraft Dept.	Zwiększ wydajność w Dziale Obrony Przeciwlotniczej	Erhöhe die Effizienz in der Luftabwehrabteilung	Augmentez l’efficacité de la Division de Défense Anti-aérienne.	提高防空部门的效率	Aumentar rendimento no Departamento de Defesa Antiaérea	Повысить производительность в Отделении Противовоздушной Обороны	Aumentar eficiencia en el Departamento de Defensa Antiaérea
OperationsRoomSwitch01	Boost Efficiency in Damage Control Dept.	Zwiększ wydajność w Dziale Naprawczym	Erhöhe die Effizienz in der Reparaturabteilung	Augmentez l’efficacité dans la Division de Réparation	提高维修部门的效率	Aumentar rendimento no Departamento aéreo	Повысить производительность в Ремонтном Отделении	Aumentar eficiencia en el Departamento de Reparación
OperationsRoomSwitch02	Boost Efficiency in Navigation Dept.	Zwiększ wydajność w Dziale Nawigacji	Erhöhe die Effizienz in der Navigationsabteilung	Augmentez l’efficacité dans la Division de Navigation	提高导航部门的效率	Aumentar rendimento no Departamento de Navegação	Повысить производительность в Навигационном Отделении	Aumentar eficiencia en el Departamento de Navegación
OperationsRoomSwitch03	Boost Efficiency in Engineering Dept.	Zwiększ wydajność w Dziale Inżynierii 	Erhöhe die Effizienz in der Ingenieurabteilung	Augmentez l’efficacité dans la Division d’Ingénierie	提高工程部门的效率	Aumentar rendimento no Departamento de Engenharia	Повысить производительность в Инженерном Отделении 	Aumentar eficiencia en el Departamento de Ingeniería 
ExperimentalTacticsSwitch01	Extend daytime by 2 hours (05:00–24:00)	Wydłużenie czasu trwania dnia o 2 godziny (05:00-24:00)	Verlängerung der Tageszeit um 2 Stunden (05:00-24:00)	Prolonger la journée de 2 heures (05:00-24:00)	延长白天2小时（05:00-24:00）	Prolongar o dia por 2 horas (05:00-24:00)	День на 2 часа длиннее, ночь на 2 часа короче (05:00-24:00)	El día es 2 horas más largo y la noche 2 horas más corta
ExperimentalTacticsSwitch02	Orders last 50% longer	Rozkazy działają 50% dłużej	Die Befehle gelten 50% länger	Les ordres durent 50 % plus long	指令的有效时间延长 50%	As ordens duram 50% mais	Приказы действуют на 50% дольше	Las órdenes tienen una vigencia 50 % mayor
ExperimentalTacticsSwitch03	Shorten escort active abilities’ cooldown by 25%	Skróć czas odnowienia aktywnych umiejętności eskorty o 25%.	Verkürze die Zeit für die Erneuerung der aktiven Fähigkeiten des Geleitschutzes um 25%.	Réduisez de 25 % le temps de renouvellement des compétences actives de l’escorte.	护航速度提高 25%	Diminuir o tempo de renovação das habilidades ativas da escolta em 25%.	Уменьшить время обновления активных навыков эскорта на 25%.	Acorte el tiempo de renovación de las habilidades de la escolta en el 25 %.
ActiveDefenseSwitch01	Add 1x CAP mission & +1 Carrier Defense	Dodaj: 1x Misję BPP i +1 Obrony	Hinzufügen: 1x Mission KLP und +1 Verteidigung	Ajoutez : 1x Mission PAC et + 1 Défense	添加 1x 航母的空中巡逻队任务和 +1 防御力	Adicionar: 1x Missão PAC e +1 Defesa	Добавить: 1x Миссии БВП и +1 Обороны	Añadir: 1x Misión PAC y +1 Defensa
ActiveDefenseSwitch02	Increase recovery ranges by 20%	Zwiększ obszar odbioru o 20%	Erhöhe das Gebiet der Übernahme um 20%	Augmentez de 20 % le terrain de récupération	着陆范围增加 20%	Aumentar a área de receção em 20%	Увеличить диапазон приема на 20%	Aumente el área de recepción en el 20 %
ActiveDefenseSwitch03	Add 2x Night Recon missions	Dodaj: 2x Nocny Rekonesans	Hinzufügen: 2x Nächtliche Erkundung	Ajoutez : 2x Reconnaissance nocturne	添加 2x 夜间侦察任务	Adicionar: 2x reconhecimento noturno	Добавить: 2x Ночная Рекогносцировка	Añadir: 2x Reconocimiento nocturno
