	en	pl	de	fr	zh	pt	ru	es
LightCruiser	Light Cruiser	Lekki Krążownik	Leichter Kreuzer	Croiseur léger	轻型巡洋舰	Cruzador ligeiro	Легкий Крейсер	Crucero ligero
SupplyShip	Supply Ship	Statek Transportowy	Transportschiff	Navire de transport	补给船	Navio transportador	Судно снабжения	Buque de transporte
SupportShip	Support Ship	Statek Pomocniczy	Hilfsschiff	Navire auxiliaire	支援船	Navio auxiliar	Корабль поддержки	Buque auxiliar
EnemiesSpotted	Enemies Spotted	Wrogowie Wykryci	Die Feinde wurden entdeckt	Ennemis repérés	发现敌人	Inimigos detetados	Враги Обнаружены	Enemigos detectados
EnemyLosses	Enemy Losses	Straty Wroga	Verluste des Feindes	Pertes d’ennemi	敌人损失	Perdas do inimigo	Потери Врага	Pérdidas del enemigo
MissionReport	Mission Report	Raport Misji	Missionsbericht	Rapport de mission	任务报告	Relatório da missão	Рапорт Миссии	Informe de la misión
CapHadFightReport	Your airmen clashed with the enemy. Some of their planes require urgent repairs.	Nasze myśliwce zmierzyły się z wrogiem. Niektóre z nich potrzebują pilnej naprawy.	Unsere Jagdflugzeuge haben mit dem Feind gekämpft. Manche von uns brauchen eine eilige Reparatur.	Nos chasseurs ont fait face à l’ennemi. Certains ont besoins d’une réparation immédiate.	我们的战斗机与敌人发生冲突， 其中一些需要紧急维修。	Os nossos caças entraram em combate com o inimigo. Alguns deles precisam de uma reparação urgente.	Наши истребители столкнулись с врагом. Некоторым из них требуется срочный ремонт.	Nuestros cazas han tenido un combate con el enemigo. Algunos necesitan una reparación urgente.
CapNoFightReport	Your airmen patrolled the area and did not encounter any enemies.	Twoje eskadry patrolowały okolicę i nie napotkały żadnych wrogów.	Deine Staffeln haben die Umgebung patrouilliert und keine Feinde angetroffen.	Vos escadres patrouillaient la région et n’ont pas rencontré d’ennemis	你的飞行中队在该地区巡逻过， 并且没有遇到敌人。	As suas esquadras patrulharam as proximidades, mas não encontraram nenhuns inimigos.	Ваши эскадрильи патрулировали окрестности и не встретили врагов.	Sus escuadras han patrullado los alrededores y no han encontrado ningunos enemigos.
AirAttackEnemyMassive	Your airmen destroyed all of the enemy targets.	Twoje eskadry całkowicie zniszczyły przeciwnika.	Deine Staffeln haben den Feind total zerstört.	Vos escadres ont détruit entièrement l’ennemi.	你的飞行中队摧毁了所有的敌方目标。	As suas esquadras destruíram totalmente o inimigo.	Ваши эскадрильи полностью уничтожили противника.	Sus escuadras han destruido totalmente el enemigo.
AirAttackEnemyMedium	Your airmen destroyed some of the enemy targets.	Twoje eskadry zniszczyły niektóre z celów.	Deine Staffeln haben manche Ziele zerstört.	Vos escadres ont détruit certaines cibles.	你的飞行中队摧毁了一些目标。	As suas esquadras destruíram alguns dos alvos.	Ваши эскадрильи уничтожили некоторые цели.	Sus escuadras han destruido algunos de los objetivos.
AirAttackEnemyMinor	Your airmen did not damage any of the enemy targets.	Twoje eskadry nie uszkodziły żadnego z celów.	Deine Staffeln haben kein Ziel beschädigt.	Vos escadres n’ont endommagé aucune cible.	你的飞行中队没有击中任何目标。	As suas esquadras não danificaram nenhum dos alvos.	Ваши эскадрильи не уничтожили ни одну из целей.	Sus escuadras no han dañado ninguno de los objetivos.
AirAttackEnemyDurabilityDamage	Your airmen managed to damage one enemy target. The damage was not critical.	Twoje eskadry zdołały uszkodzić jeden wrogi cel. Uszkodzenia nie są krytyczne.	Deine Staffeln haben ein feindliches Ziel zerstört. Die Beschädigungen sind nicht kritisch.	Vos escadres ont endommagé une cible ennemie. Les dégâts ne sont pas graves.	你的飞行中队只成功地伤害了一个敌方目标， 对方损失并不严重。	As suas esquadras conseguiram danificar um alvo inimigo. As danificações não são criticas.	Вашим эскадрильям удалось уничтожить одну вражескую цель. Повреждения не являются критическими.	Sus escuadras han conseguido dañar un objetivo enemigo. Los daños no son críticos.
RescueShip_Desc	Use this ship to rescue survivors stranded at sea.	Użyj tego statku, by uratować rozbitków.	Benutze dieses Schiff, um die Schiffbrüchigen zu retten.	Utilisez ce navire pour sauver les survivants.	使用这艘船去营救幸存者。	Utilize este navio para resgatar os náufragos.	Используйте этот корабль, чтобы спасти выживших.	Utilice este buque para rescatar a los náufragos.
RescueShipSkill	Sea Rescue	Odbiór	Übernahme	Récupération	营救	Receção	Прием	Recepción
